,년도,지역,작물,"면적

",생산량,단위생산량
0,2015,경산시,사과,6.3,80.0,"1,600.0"
65,2015,경주시,사과,239.0,"4,675.0","1,955.0"
130,2015,구미시,사과,105.0,"1,930.0","1,838.0"
195,2015,군위군,사과,765,"10,977","1,434"
260,2015,김천시,사과,382.4,"5,648.0","1,477.0"
325,2015,문경시,사과,"1,975.4","44,152.2","2,235.1"
390,2015,봉화군,사과,"2,000.0","31,950.0","1,597.5"
455,2015,상주시,사과,982.5,"16,879.6","1,718.0"
520,2015,성주군,사과,157.4,"2,949.9","1,874.1"
585,2015,안동시,사과,"3,088.0","70,737.0","2,291.0"
650,2015,영덕군,사과,536,"10,974","2,047"
715,2015,영양군,사과,583.2,"10,490.2","1,798.7"
780,2015,영주시,사과,"3,296.0","100,514.0","3,049.6"
845,2015,영천시,사과,716.5,"19,675.4","2,746.0"
910,2015,예천군,사과,"1,010.6","18,406.7","1,821.4"
975,2015,울진군,사과,2.8,30.6,"1,092.9"
1040,2015,의성군,사과,"2,646.8","63,221.7","2,615.2"
1105,2015,청도군,사과,182.9,"4,213","2,304.0"
1170,2015,청송군,사과,"2,975.8","54,833.0","1,842.6"
1235,2015,칠곡군,사과,84.1,"2,046.0","2,432.8"
1300,2015,포항시,사과,"1,032.9","19,485.5","1,886.5"
1,2016,경산시,사과,8.5,115.0,"1,352.9"
66,2016,경주시,사과,240.0,"4,678.0","1,946.0"
131,2016,구미시,사과,104.1,"1,952.0","1,875.1"
196,2016,군위군,사과,758,"14,820","1,955"
261,2016,김천시,사과,406.8,"6,011.2","1,477.7"
326,2016,문경시,사과,"2,016.5","44,501.0","2,206.8"
391,2016,봉화군,사과,"2,086.0","41,310.0","1,980.0"
456,2016,상주시,사과,993.5,"20,251.1","2,038.4"
521,2016,성주군,사과,158.9,"3,159.0","1,988.0"
586,2016,안동시,사과,"3,181.0","69,229.0","2,177.0"
651,2016,영덕군,사과,560,"12,822","2,290"
716,2016,영양군,사과,556.1,"10,852.5","1,951.5"
781,2016,영주시,사과,"3,332.9","99,642.2","2,989.6"
846,2016,영천시,사과,700.3,"15,339.0","2,190.0"
911,2016,예천군,사과,"1,006.9","18,020.7","1,790.0"
976,2016,울진군,사과,6.4,57.0,890.6
1041,2016,의성군,사과,"2,679.2","57,927.5","2,340.0"
1106,2016,청도군,사과,182.0,"3,804","2,090.0"
1171,2016,청송군,사과,"3,238.5","59,362.0","1,833.0"
1236,2016,칠곡군,사과,84.1,"2,046.0","2,432.8"
1301,2016,포항시,사과,"1,031.3","18,169.6","2,009.1"
2,2017,경산시,사과,6.9,105.1,"1,523.2"
67,2017,경주시,사과,240.0,"4,595.0","1,915.0"
132,2017,구미시,사과,84.6,"1,596.4","1,887.0"
197,2017,군위군,사과,745,"13,383","1,796"
262,2017,김천시,사과,428.9,"6,241.0","1,455.1"
327,2017,문경시,사과,"1,994.9","43,184.5","2,164.7"
392,2017,봉화군,사과,"2,156.0","38,203.0","1,772.0"
457,2017,상주시,사과,688.0,"15,934.0","2,315.0"
522,2017,성주군,사과,163.4,"3,168.1","1,938.9"
587,2017,안동시,사과,"3,211.0","70,161.0","2,185.0"
652,2017,영덕군,사과,560,"12,237","2,185"
717,2017,영양군,사과,580.6,"10,101.6","1,739.9"
782,2017,영주시,사과,"3,304.2","84,587.0","2,560.0"
847,2017,영천시,사과,700.9,"15,317.0","2,185.0"
912,2017,예천군,사과,"1,032.2","18,952.4","1,836.0"
977,2017,울진군,사과,4.5,55.6,"1,235.6"
1042,2017,의성군,사과,"2,699.6","55,895.0","2,262.0"
1107,2017,청도군,사과,185.1,"3,435","1,856.0"
1172,2017,청송군,사과,"3,363.1","64,403.4","1,915.0"
1237,2017,칠곡군,사과,81.0,"1,984.0","2,449.4"
1302,2017,포항시,사과,"1,029.0","18,940.0","2,063.0"
3,2018,경산시,사과,16.1,179.0,"1,111.8"
68,2018,경주시,사과,250.0,"4,600.0","1,920.0"
133,2018,구미시,사과,51.8,881.0,"1,700.8"
198,2018,군위군,사과,745,"12,984","1,743"
263,2018,김천시,사과,431.3,"5,439.0","1,261.0"
328,2018,문경시,사과,"2,043.9","40,759.2","1,994.2"
393,2018,봉화군,사과,"2,224.0","37,052.0","1,666.0"
458,2018,상주시,사과,678.6,"11,169.0","1,645.9"
523,2018,성주군,사과,150.9,"2,911.5","1,929.4"
588,2018,안동시,사과,"3,248.0","61,884.0","1,905.0"
653,2018,영덕군,사과,560,"10,500","1,875"
718,2018,영양군,사과,575.0,"10,708.0","1,862.3"
783,2018,영주시,사과,"3,320.9","82,124.2","2,473.0"
848,2018,영천시,사과,672.0,"13,241.0","1,970.4"
913,2018,예천군,사과,976.5,"16,182.7","1,657.0"
978,2018,울진군,사과,4.7,56.0,"1,191.5"
1043,2018,의성군,사과,"2,289.3","45,494.0","1,987.0"
1108,2018,청도군,사과,187.2,"3,100","1,656.0"
1173,2018,청송군,사과,"3,339.4","62,613.8","1,875.0"
1238,2018,칠곡군,사과,75.7,"1,970.0","2,602.4"
1303,2018,포항시,사과,"1,009.0","18,042.0","2,031.0"
4,2019,경산시,사과,19.3,173.0,896.4
69,2019,경주시,사과,250.0,"3,420.0","1,368.0"
134,2019,구미시,사과,98,"1,914","1,953"
199,2019,군위군,사과,746,"13,050","1,749"
264,2019,김천시,사과,422.7,"5,306.0","1,255.3"
329,2019,문경시,사과,"2,090.8","42,289.1","2,022.6"
394,2019,봉화군,사과,"2,241.0","40,064.0","1,788.0"
459,2019,상주시,사과,792.6,"14,647.5","1,848.0"
524,2019,성주군,사과,148.6,"2,765.7","1,861.2"
589,2019,안동시,사과,"3,190.0","59,418.0","1,862.0"
654,2019,영덕군,사과,562,"10,300","1,833"
719,2019,영양군,사과,579.4,"10,690.0","1,845.0"
784,2019,영주시,사과,"3,408.4","92,888.4","2,725.3"
849,2019,영천시,사과,666.8,"13,061.1","1,958.8"
914,2019,예천군,사과,909.1,"15,463.0","1,700.9"
979,2019,울진군,사과,20.0,114.2,571.0
1044,2019,의성군,사과,"2,445.0","47,351.3","1,936.7"
1109,2019,청도군,사과,190.6,"2,707","1,420.0"
1174,2019,청송군,사과,"3,423.0","60,929.0","1,780.0"
1239,2019,칠곡군,사과,80.9,"1,877.0","2,320.1"
1304,2019,포항시,사과,"1,102.1","19,277.4","1,749.2"
